year,start_station_id,total_bikes,started_at
2023,4707.04,346,346
2023,4713.01,227,227
2023,4715.01,260,260
2023,4718.08,580,580
2023,4719.04,89,89
2023,4721.01,259,259
2023,4724.03,954,954
2023,4727.06,58,58
2023,4729.01,556,556
2023,4732.04,566,566
2023,4732.08,508,508
2023,4735.03,109,109
2023,4735.16,162,162
2023,4743.04,138,138
2023,4748.07,830,830
2023,4751.01,271,271
2023,4756.04,198,198
2023,4757.06,22,22
2023,4759.02,638,638
2023,4762.04,306,306
2023,4762.05,989,989
2023,4765.07,37,37
2023,4768.02,341,341
2023,4771.07,199,199
2023,4775.01,143,143
2023,4781.03,254,254
2023,4781.05,324,324
2023,4784.02,309,309
2023,4789.03,1166,1166
2023,4792.03,440,440
2023,4798.02,90,90
2023,4798.10,24,24
2023,4801.04,639,639
2023,4804.02,586,586
2023,4807.02,205,205
2023,4812.02,381,381
2023,4812.04,531,531
2023,4816.02,72,72
2023,4816.05,141,141
2023,4818.02,123,123
2023,4818.03,323,323
2023,4821.03,721,721
2023,4821.06,487,487
2023,4821.10,369,369
2023,4824.03,446,446
2023,4826.04,160,160
2023,4829.01,362,362
2023,4830.02,71,71
2023,4832.07,284,284
2023,4837.03,105,105
2023,4840.06,393,393
2023,4843.01,294,294
2023,4846.01,853,853
2023,4847.03,863,863
2023,4850.04,365,365
2023,4853.06,317,317
2023,4856.05,164,164
2023,4861.05,540,540
2023,4862.04,88,88
2023,4862.07,57,57
2023,4864.09,509,509
2023,4871.02,159,159
2023,4873.08,405,405
2023,4880.11,121,121
2023,4883.03,412,412
2023,4889.06,242,242
2023,4890.11,157,157
2023,4895.03,1071,1071
2023,4895.09,1214,1214
2023,4895.15,262,262
2023,4898.02,256,256
2023,4903.08,278,278
2023,4903.09,553,553
2023,4904.03,20,20
2023,4906.07,199,199
2023,4912.10,234,234
2023,4914.03,257,257
2023,4920.13,85,85
2023,4921.04,68,68
2023,4927.04,367,367
2023,4931.05,443,443
2023,4933.03,52,52
2023,4936.21,916,916
2023,4939.07,343,343
2023,4945.06,64,64
2023,4947.04,188,188
2023,4953.04,537,537
2023,4954.07,145,145
2023,4956.02,352,352
2023,4962.01,664,664
2023,4962.02,327,327
2023,4962.08,296,296
2023,4963.13,210,210
2023,4965.01,290,290
2023,4968.03,564,564
2023,4971.01,217,217
2023,4977.03,91,91
2023,4979.07,348,348
2023,4982.02,151,151
2023,4985.09,37,37
2023,4987.06,304,304
2023,4990.02,18,18
2023,4993.02,481,481
2023,4993.13,631,631
2023,4993.15,426,426
2023,4994.10,121,121
2023,4996.08,528,528
2023,5001.08,908,908
2023,5002.09,205,205
2023,5004.02,262,262
2023,5010.02,473,473
2023,5018.06,302,302
2023,5021.05,491,491
2023,5024.10,513,513
2023,5025.02,177,177
2023,5027.02,183,183
2023,5033.01,710,710
2023,5034.03,205,205
2023,5036.06,358,358
2023,5043.06,98,98
2023,5045.05,343,343
2023,5051.01,572,572
2023,5051.02,385,385
2023,5053.01,56,56
2023,5057.07,207,207
2023,5057.09,84,84
2023,5059.02,566,566
2023,5065.04,605,605
2023,5065.10,495,495
2023,5065.12,830,830
2023,5065.14,867,867
2023,5066.03,138,138
2023,5068.02,604,604
